mae,rmse,mape,r2,Dataset,Mode
79.89444444444442,94.49800331027969,0.080879236640895,0.504966419116917,Air_Quality,Singel_step
9.916666666675868,38.617269692697946,0.0093313525897139,0.9173291264905088,Air_Quality,Singel_step
12.036101682685931,32.93585989616259,0.0116163671100963,0.9398649869880328,Air_Quality,Singel_step
31.22708328413831,37.07913294138086,0.0305856701135722,0.9237835816191784,Air_Quality,Singel_step
31.50260687934028,35.72225555426395,0.030792236360426,0.929259660096994,Air_Quality,Singel_step
30.51366424073877,36.47977406636939,0.0297067993551962,0.9262276401609084,Air_Quality,Singel_step
28.513242510312686,35.660689832280724,0.0272459887280268,0.9295032856493084,Air_Quality,Singel_step
41.98285100489487,51.8687821341226,0.0376439986328785,0.9174658038496792,Air_Quality,Singel_step
46.75574074074074,66.88060746845676,1.295709454603322,0.2648489176411565,Air_Polution,Singel_step
30.747806111406543,52.40895810445624,0.5359799782260491,0.5485733077673671,Air_Polution,Singel_step
31.556739108950232,52.86149647390437,0.5821342761684513,0.5407437345665723,Air_Polution,Singel_step
28.3894458195956,47.277394242723375,0.5837980623485106,0.6326472913720014,Air_Polution,Singel_step
25.980748897128635,43.25639849882869,0.5447848165478366,0.6924774991283111,Air_Polution,Singel_step
28.90238821004309,45.562779498891295,0.7244425361684317,0.6588097576272438,Air_Polution,Singel_step
29.88217919877778,43.76009491907302,0.8048742436383091,0.6852739482935114,Air_Polution,Singel_step
31.60241457621257,45.78870739743224,0.5266329815754932,0.6554177121504354,Air_Polution,Singel_step
84.28222222222219,99.10729315017916,0.0847439172802386,0.4554965628645154,Air_Quality,Singel_step
34.53120088832135,41.07985348567811,0.0337686658692683,0.9064492727271124,Air_Quality,Singel_step
46.725281908409634,54.78920444715649,0.0472015952528819,0.8335900136546042,Air_Quality,Singel_step
30.87772441991011,36.60570080218264,0.0300884910463322,0.9257174425562924,Air_Quality,Singel_step
28.98736640082465,35.1223703306205,0.02849731774186,0.931615601431748,Air_Quality,Singel_step
40.93081814548011,49.50298525702944,0.0394935212746383,0.8641523357913846,Air_Quality,Singel_step
37.58005396556677,46.54965916746226,0.0359587964526138,0.8798780407757234,Air_Quality,Singel_step
25.671927218967028,31.77179914799417,0.025183253851937,0.9440406046872614,Air_Quality,Singel_step
1.5554375000000005,2.058309638278537,10.192079824362224,0.9087269847360144,Weather,Singel_step
0.0090912672996914,0.0120311424185358,0.0315575699920847,0.9999968815792027,Weather,Singel_step
0.0222411105707364,0.0277836971277559,0.1394997581026366,0.9999833696628172,Weather,Singel_step
0.1254941336375614,0.1460992750993303,0.5914618112940623,0.9995401490322376,Weather,Singel_step
0.1562720905630676,0.2540012601380641,0.2807571102333776,0.998610070651961,Weather,Singel_step
0.1995804438730581,0.2764118877646678,0.2490452727996978,0.998353982619823,Weather,Singel_step
0.1936716790286221,0.282921581953484,1.0072240075890329,0.998275539948103,Weather,Singel_step
0.4028857266461406,0.5246306320840971,3.5004941734604267,0.994070360759434,Weather,Singel_step
3.905972222222221,4.7173895137659,1.0102658164102314e+16,0.5974085154660491,Electricity,Singel_step
4.134880191569777,5.222266954123791,9897221689408266.0,0.5066226056968439,Electricity,Singel_step
4.166177715056822,5.277634143743273,1.004823615396576e+16,0.49610543801922,Electricity,Singel_step
3.186342676226521,4.442997896783947,8603008229597730.0,0.6428806970128464,Electricity,Singel_step
3.18919452705317,4.193338636380118,7986220201358131.0,0.6818873194655037,Electricity,Singel_step
3.414407023185855,4.761948201504863,8529151242816738.0,0.5897671407297002,Electricity,Singel_step
3.5986690807594344,5.183176760297411,1.0598180834351366e+16,0.5139811098306526,Electricity,Singel_step
4.482212745216158,6.670171554579305,1.2465099803319774e+16,0.1951126202621766,Electricity,Singel_step
1396.0492063492063,1706.5813765049145,0.7690107387213913,0.2854022507161873,Traffic,Singel_step
1113.972796344878,1350.2101640167357,0.606092453945305,0.5526881681167852,Traffic,Singel_step
1116.3059013516672,1355.405913512036,0.5739933535061744,0.5492389392259283,Traffic,Singel_step
321.4231682281997,475.4231988079587,0.1218901990264811,0.9445414667073618,Traffic,Singel_step
364.2970391167534,532.6178958054257,0.1242012118275713,0.9303952065452032,Traffic,Singel_step
367.75018361036905,510.7451261040444,0.139485641495004,0.9359946757570244,Traffic,Singel_step
335.1229008926378,428.4060929926974,0.133822309039837,0.9549682403229964,Traffic,Singel_step
271.2465537389119,329.3435121651734,0.1417046018622296,0.973386262732285,Traffic,Singel_step
798.2072826777777,1123.5968926822898,0.06871205215806815,0.8780664442177353,Power_consumption,Singel_step
431.5286264199021,741.7745058597852,0.03720539182215181,0.9468570099991764,Power_consumption,Singel_step
450.62841033405397,763.5989819332783,0.039093760529948555,0.943683862431355,Power_consumption,Singel_step
261.74031415803347,353.537687894124,0.02399528437219452,0.9879281560036072,Power_consumption,Singel_step
376.2406810364583,468.0186414335406,0.03191468884056877,0.9788442472386237,Power_consumption,Singel_step
338.48980946874855,405.9055231019616,0.02966775084769074,0.9840869985906654,Power_consumption,Singel_step
448.9767130823992,557.1254018904177,0.03559483022631579,0.9700216241292534,Power_consumption,Singel_step
283.56689812812505,342.9364457405366,0.02464144984991948,0.9886412781539633,Power_consumption,Singel_step
