iter	RMSE
129	14.33012114
130	14.20637052
131	14.15550171
132	14.06310517
133	13.97817514
134	13.8798258
135	13.78195721
136	13.70180149
137	13.59635715
138	13.51313072
139	13.40506078
140	13.32327092
141	13.24356626
142	13.18687804
143	13.09321978
144	13.01595611
145	12.95488436
146	12.91198736
147	12.84973413
148	12.77448862
149	12.72176059
150	12.65197519
151	12.55997867
152	12.48999894
153	12.42634108
154	12.33009441
155	12.28476166
156	12.19805296
157	12.12719472
158	12.05827074
159	11.99605311
160	11.96173865
161	11.90666864
162	11.84545678
163	11.76487574
164	11.69837708
165	11.63754492
166	11.56084065
167	11.51063501
168	11.46709585
169	11.40617375
170	11.33655785
171	11.27876852
172	11.21450027
173	11.15432882
174	11.10187445
175	11.03799323
176	10.98061353
177	10.90847581
178	10.84972358
179	10.79108522
180	10.73888868
181	10.67788571
182	10.60623692
183	10.55650537
184	10.51538849
185	10.47080094
186	10.40986811
187	10.37652066
188	10.33121514
189	10.27392215
190	10.231056
191	10.17222709
192	10.13496396
193	10.08744058
194	10.03139085
195	9.978815634
196	9.931536347
197	9.874683694
198	9.839685829
199	9.79358343
200	9.771842982
201	9.735076662
202	9.686765861
203	9.662041384
204	9.613581962
205	9.576895415
206	9.542711254
207	9.492319953
208	9.463858501
209	9.427170112
210	9.375786361
211	9.333722299
212	9.281185709
213	9.247273432
214	9.215012742
215	9.16948913
216	9.124107203
217	9.075261745
218	9.041665087
219	8.992585338
220	8.959521425
221	8.928089849
222	8.892975263
223	8.857537683
224	8.814005709
225	8.785360986
226	8.744359712
227	8.71939597
228	8.695958137
229	8.667647536
230	8.641669671
231	8.598551326
232	8.567385112
233	8.539516083
234	8.502302796
235	8.480125861
236	8.443945802
237	8.409881373
238	8.373843461
239	8.338496682
240	8.321082933
241	8.300823013
242	8.265153557
243	8.248572105
244	8.217750389
245	8.171561207
246	8.146735081
247	8.109893531
248	8.083427908
249	8.06215534
250	8.030162508
251	8.000478435
252	7.974402444
253	7.940749672
254	7.917649638
255	7.888776318
256	7.859050466
257	7.83838282
258	7.803939414
259	7.782575187
260	7.759301856
261	7.724767611
262	7.709315818
263	7.690494676
264	7.66258598
265	7.646970463
266	7.619013766
267	7.594854996
268	7.559640795
269	7.537311077
270	7.507652131
271	7.480932438
272	7.461854575
273	7.435507688
274	7.414487149
275	7.405513873
276	7.382662556
277	7.352414633
278	7.33190112
279	7.317923256
280	7.292268146
281	7.263422045
282	7.242835484
283	7.2233403
284	7.198272804
285	7.18275528
286	7.149615491
287	7.134679174
288	7.112642786
289	7.10039523
290	7.082830455
291	7.069758721
292	7.048616094
293	7.020833258
294	7.008226686
295	6.975515194
296	6.959933611
297	6.950411883
298	6.936811705
299	6.912338641
300	6.895416373
301	6.877644319
302	6.852397001
303	6.837198239
304	6.818101323
305	6.798678271
306	6.77274943
307	6.75494561
308	6.73356588
309	6.71649162
310	6.702847927
311	6.693667189
312	6.666498694
313	6.655919426
314	6.63583176
315	6.624432962
316	6.60188215
317	6.575136712
318	6.549687435
319	6.529708705
320	6.505425451
321	6.490206543
322	6.472938389
323	6.457544789
324	6.43498393
325	6.424910028
326	6.409353149
327	6.3949043
328	6.368784751
329	6.346004827
330	6.330497979
331	6.318865805
332	6.300538888
333	6.281134367
334	6.257515447
335	6.246897961
336	6.228477856
337	6.210088042
338	6.190289061
339	6.172928294
340	6.153386362
341	6.142851489
342	6.13502096
343	6.122799419
344	6.103997859
345	6.095503914
346	6.072256324
347	6.05133073
348	6.038150291
349	6.015365641
350	5.989518337
351	5.971788926
352	5.951765672
353	5.934137406
354	5.922903827
355	5.903484835
356	5.89003966
357	5.870460264
358	5.854627297
359	5.838892788
360	5.826504224
361	5.806067944
362	5.795499362
363	5.78523663
364	5.773616354
365	5.758516637
366	5.744868987
367	5.72806679
368	5.710386213
369	5.703309088
370	5.691365601
371	5.67824383
372	5.659334198
373	5.649460271
374	5.639693006
375	5.625044845
376	5.60937302
377	5.595440628
378	5.580313579
379	5.561953774
380	5.542460962
381	5.52660945
382	5.508603975
383	5.493238431
384	5.480538426
385	5.46504416
386	5.454970953
387	5.439238763
388	5.425277793
389	5.409208404
390	5.39346628
391	5.376218925
392	5.363999556
393	5.35324293
394	5.3363341
395	5.320738807
396	5.307560056
397	5.293770969
398	5.278060315
399	5.258731825
400	5.246484655
401	5.233708524
402	5.222188571
403	5.214210346
404	5.203287416
405	5.196422177
406	5.188275138
407	5.16940174
408	5.16135057
409	5.146487291
410	5.132871265
411	5.117446791
412	5.109839219
413	5.100966922
414	5.084981005
415	5.072415454
416	5.057633461
417	5.044959385
418	5.031755638
419	5.016636411
420	5.005305828
421	4.999991702
422	4.989389344
423	4.982517443
424	4.970863107
425	4.962891172
426	4.954698904
427	4.941969678
428	4.931572003
429	4.920918637
430	4.910332878
431	4.898500388
432	4.890453828
433	4.882257067
434	4.866470658
435	4.860527276
436	4.849210446
437	4.843159494
438	4.840028306
439	4.837622577
440	4.828485483
441	4.815665934
442	4.80306159
443	4.797580966
444	4.789418676
445	4.774761854
446	4.767543512
447	4.761550409
448	4.755136109
449	4.741428004
450	4.734973834
451	4.719686901
452	4.708097207
453	4.693026269
454	4.68507552
455	4.674425092
456	4.662608644
457	4.648734874
458	4.643876472
459	4.635465002
460	4.624929401
461	4.620355244
462	4.611442259
463	4.603991026
464	4.59883342
465	4.590603973
466	4.583930385
467	4.578865799
468	4.567244611
469	4.5580624
470	4.549095529
471	4.540372646
472	4.528572716
473	4.517306576
474	4.507757203
475	4.499546892
476	4.488660171
477	4.484135201
478	4.478619547
479	4.46670274
480	4.461027292
481	4.453524448
482	4.447845187
483	4.44209958
484	4.434565966
485	4.426118566
486	4.416773982
487	4.407648329
488	4.401745697
489	4.394633326
490	4.384262007
491	4.378887427
492	4.37398547
493	4.364550879
494	4.357762217
495	4.351485258
496	4.343774503
497	4.335899727
498	4.326797255
499	4.321940878
500	4.313771597
501	4.304973464
502	4.299537455
503	4.295466272
504	4.290827605
505	4.281922897
506	4.275717584
507	4.265033449
508	4.258555834
509	4.248447192
510	4.239013992
511	4.231720322
512	4.223579436
513	4.215248844
514	4.206531364
515	4.203329356
516	4.192247082
517	4.188536159
518	4.177782212
519	4.171554499
520	4.161752719
521	4.154542533
522	4.150180308
523	4.146431565
524	4.137882573
525	4.127491788
526	4.119346297
527	4.11090694
528	4.106212537
529	4.097612415
530	4.093515192
531	4.090127333
532	4.081025261
533	4.07135035
534	4.064719861
535	4.058202667
536	4.054573929
537	4.04431807
538	4.032887824
539	4.02457697
540	4.017969708
541	4.010508484
542	4.003133525
543	3.997708474
544	3.989358776
545	3.982175703
546	3.972803535
547	3.966510463
548	3.959621293
549	3.955836848
550	3.951926375
551	3.946480117
552	3.942673715
553	3.934951377
554	3.925765607
555	3.918571676
556	3.913290087
557	3.90901962
558	3.901923797
559	3.899207355
560	3.893345436
561	3.885303747
562	3.878439691
563	3.868310442
564	3.860404506
565	3.856086034
566	3.847592609
567	3.838828356
568	3.832793434
569	3.824961436
570	3.822513518
571	3.818915935
572	3.816013475
573	3.808777805
574	3.803492927
575	3.798052919
576	3.792612811
577	3.784633995
578	3.78040578
579	3.771605011
580	3.767803633
581	3.761296031
582	3.752945244
583	3.749352328
584	3.743550983
585	3.734530902
586	3.728431509
587	3.722547677
588	3.719562648
589	3.713190867
590	3.708076418
591	3.701447252
592	3.696105258
593	3.69060554
594	3.686052923
595	3.677306584
596	3.671997772
597	3.668879765
598	3.663384772
599	3.658643691
600	3.653402504
601	3.644669247
602	3.638239481
603	3.630143696
604	3.624897341
605	3.61637969
606	3.610358021
607	3.605595254
608	3.600862845
609	3.596648408
610	3.585942098
611	3.579115528
612	3.572728607
613	3.566801557
614	3.56337894
615	3.55951685
616	3.55337553
617	3.548260485
618	3.545030226
619	3.53942558
620	3.534093767
621	3.525002947
622	3.518081151
623	3.513152804
624	3.50457775
625	3.497505421
626	3.493706946
627	3.487823925
628	3.484934101
629	3.479158101
630	3.476194779
631	3.470164557
632	3.463412479
633	3.462178269
634	3.460207978
635	3.454365596
636	3.446650922
637	3.441256865
638	3.436812245
639	3.428903262
640	3.422084971
641	3.417597545
642	3.41234431
643	3.409026141
644	3.403219499
645	3.397250426
646	3.390525135
647	3.38530613
648	3.380185891
649	3.376013304
650	3.3721598
651	3.366597721
652	3.363148339
653	3.357825247
654	3.355012937
655	3.34824805
656	3.34250357
657	3.33922699
658	3.33417933
659	3.330318092
660	3.323260795
661	3.317945768
662	3.312158836
663	3.306236139
664	3.300276106
665	3.294638294
666	3.290832403
667	3.285037571
668	3.280675806
669	3.277901384
670	3.27168281
671	3.264687025
672	3.260174512
673	3.256929804
674	3.249821161
675	3.245643088
676	3.242542634
677	3.238556886
678	3.237893282
679	3.233045236
680	3.227420418
681	3.225089503
682	3.219429127
683	3.216683665
684	3.211668905
685	3.208985334
686	3.204674277
687	3.200281172
688	3.198132934
689	3.195636315
690	3.190047538
691	3.183202012
692	3.176887262
693	3.172949417
694	3.166820731
695	3.162781781
696	3.158022065
697	3.154851816
698	3.149723944
699	3.143437883
700	3.143057577
701	3.138407194
702	3.136209629
703	3.13249835
704	3.129546715
705	3.126366567
706	3.121949969
707	3.118181029
708	3.112778603
709	3.108035578
710	3.104580864
711	3.100397903
712	3.096502923
713	3.093885944
714	3.090639106
715	3.08739435
716	3.081719433
717	3.079353066
718	3.075266031
719	3.072100037
720	3.064731068
721	3.059945708
722	3.055825841
723	3.052774675
724	3.050038416
725	3.045776559
726	3.040998862
727	3.03567758
728	3.03350126
729	3.028487361
730	3.024770606
731	3.020967021
732	3.016371002
733	3.012932747
734	3.009449841
735	3.00468806
736	3.001160219
737	2.99697946
738	2.993653487
739	2.989815444
740	2.984857545
741	2.981109604
742	2.975602972
743	2.972627657
744	2.967592261
745	2.963523249
746	2.957845337
747	2.95448171
748	2.950996099
749	2.945867297
750	2.942225464
751	2.940154652
752	2.936318066
753	2.930878314
754	2.925426909
755	2.923828732
756	2.919629954
757	2.915205895
758	2.911350386
759	2.906954319
760	2.903957134
761	2.898992374
762	2.894654371
763	2.890988769
764	2.887802819
765	2.885223063
766	2.882204264
767	2.877795324
768	2.873679242
769	2.871515572
770	2.869333654
771	2.865842973
772	2.862710908
773	2.859143991
774	2.855577692
775	2.852964275
776	2.848434444
777	2.842816002
778	2.839668944
779	2.835048433
780	2.832410106
781	2.828284281
782	2.823477339
783	2.819969477
784	2.814960321
785	2.81283511
786	2.807690898
787	2.805176823
788	2.802794843
789	2.798963671
790	2.794888022
791	2.79180067
792	2.788978212
793	2.786747876
794	2.783646162
795	2.78092887
796	2.776577662
797	2.776264142
798	2.774218266
799	2.771398077
800	2.766531726
801	2.763578781
802	2.76315965
803	2.759894481
804	2.756225828
805	2.752951257
806	2.750500483
807	2.748635024
808	2.747021623
809	2.744799772
810	2.738510802
811	2.736273235
812	2.733342855
813	2.730167236
814	2.728729987
815	2.72531783
816	2.722635079
817	2.720835656
818	2.718173026
819	2.714564947
820	2.711509808
821	2.709662034
822	2.705455883
823	2.70291771
824	2.700210941
825	2.695570624
826	2.691560838
827	2.689205003
828	2.686787604
829	2.684302415
830	2.682560154
831	2.678966873
832	2.674375715
833	2.671519578
834	2.667278346
835	2.664130175
836	2.661723906
837	2.657890685
838	2.654236408
839	2.650246783
840	2.646384648
841	2.643802522
842	2.640257002
843	2.638296657
844	2.635361413
845	2.633350253
846	2.630243914
847	2.62797692
848	2.626040518
849	2.625671345
850	2.62253846
851	2.621444696
852	2.615498321
853	2.613298017
854	2.609698517
855	2.60510948
856	2.602848996
857	2.601233895
858	2.597428696
859	2.592140769
860	2.588557205
861	2.583528039
862	2.581002413
863	2.577960158
864	2.57323681
865	2.569807436
866	2.567238065
867	2.563852434
868	2.562320511
869	2.559747202
870	2.556206477
871	2.554279677
872	2.551752295
873	2.549200742
874	2.546700294
875	2.543485878
876	2.539207581
877	2.536795848
878	2.534824032
879	2.532260191
880	2.53050582
881	2.526536209
882	2.523399364
883	2.520506424
884	2.518698835
885	2.517107967
886	2.515077106
887	2.512470235
888	2.509969881
889	2.507300578
890	2.504994595
891	2.502569292
892	2.497559185
893	2.495923842
894	2.493415504
895	2.490324822
896	2.486975653
897	2.484791348
898	2.483065008
899	2.479053908
900	2.475786295
901	2.47288523
902	2.4707258
903	2.468604101
904	2.464599827
905	2.461350321
906	2.460201208
907	2.459541166
908	2.457207366
909	2.453916021
910	2.451819247
911	2.448686646
912	2.446219665
913	2.443705204
914	2.440480317
915	2.437988304
916	2.434711726
917	2.432424453
918	2.429824411
919	2.427229457
920	2.426648605
921	2.423437358
922	2.421502924
923	2.420593484
924	2.417951904
925	2.414890966
926	2.413389185
927	2.410973071
928	2.40934745
929	2.406582423
930	2.404075503
931	2.40144996
932	2.397656789
933	2.393536313
934	2.390621956
935	2.38859913
936	2.385937347
937	2.382724069
938	2.379892423
939	2.376654876
940	2.373822573
941	2.371539963
942	2.369857627
943	2.367625441
944	2.364541761
945	2.362030508
946	2.359264941
947	2.355918336
948	2.35398016
949	2.352127897
950	2.350071625
951	2.346932105
952	2.344490634
953	2.341516561
954	2.337490328
955	2.335539462
956	2.332958266
957	2.33258544
958	2.32974528
959	2.325416747
960	2.32280238
961	2.320892863
962	2.318508328
963	2.317041917
964	2.314892638
965	2.31223463
966	2.308836958
967	2.30756552
968	2.304036181
969	2.301981163
970	2.299986042
971	2.298826515
972	2.296144555
973	2.29204241
974	2.290259539
975	2.288848214
976	2.287032484
977	2.284175996
978	2.281984199
979	2.278989948
980	2.27770143
981	2.277396529
982	2.276441297
983	2.27516331
984	2.272700966
985	2.269591652
986	2.267744261
987	2.265266697
988	2.26236654
989	2.260422113
990	2.25822913
991	2.254483922
992	2.251775907
993	2.249649283
994	2.248147254
995	2.245166153
996	2.241032345
997	2.239059902
998	2.23745165
999	2.235049834
